,飯店,旅館,"青年旅館・
宿舍・
膠囊旅館",親戚・知人家,"宿舍、休養所、
培訓所",民宿,其他,無回答,合計,標本數
全體,79.2,3.9,5.5,6.6,1.8,7.0,1.0,0.4,105.4,"12,279"
韓國,72.3,3.6,10.9,9.9,1.7,6.0,1.1,0.2,105.8,"1,874"
台灣,80.9,4.3,6.3,5.7,1.0,5.8,0.9,0.6,105.5,"1,747"
中國,80.9,3.8,1.3,6.3,3.0,6.2,1.2,0.4,103.0,"2,424"
香港,83.4,4.1,2.6,3.0,0.3,8.4,0.5,0.9,103.1,916
泰國,75.7,7.3,9.4,9.6,1.8,5.2,1.4,0.8,111.3,695
新加坡,87.7,2.6,1.3,2.1,0.3,13.9,0.5,0.0,108.4,327
馬來西亞,86.2,0.9,4.5,3.1,1.4,7.6,1.7,0.3,105.7,260
美國,78.4,3.2,6.6,6.2,1.0,12.6,0.9,0.7,109.6,"1,159"
加拿大,70.8,5.6,13.8,5.9,0.3,15.8,0.3,0.7,113.3,263
英國,77.1,4.2,11.2,9.5,1.5,9.1,0.9,0.0,113.6,293
德國,69.1,3.5,15.4,6.3,2.4,10.4,2.1,0.9,110.0,189
法國,67.4,10.5,12.8,11.1,1.1,16.1,2.4,0.0,121.5,257
意大利,83.0,7.9,8.7,2.4,1.8,6.1,1.6,0.0,111.5,187
西班牙,72.3,7.6,18.4,1.7,0.5,9.7,2.2,1.4,113.7,204
澳大利亞,79.8,4.7,10.3,3.8,0.0,12.2,0.6,0.3,111.8,417
印度,74.4,3.2,1.9,9.6,6.5,5.7,2.0,0.0,103.2,157
印尼,75.1,2.1,6.9,4.1,2.5,11.8,0.9,0.3,103.6,305
菲律賓,66.6,0.6,4.8,16.5,4.0,11.2,0.8,0.6,105.0,267
越南,79.2,3.2,2.4,9.4,5.5,2.9,0.0,1.2,103.7,167
俄羅斯,78.0,4.3,5.4,7.9,1.2,5.2,1.4,1.2,104.4,161
其他,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,10
