,自己一個人,"夫妻・伴侶",家人・親人,職場同事,朋友,其他,無回答,合計,標本數
全體,24.5,12.1,25.3,16.5,22.5,0.9,0.3,102.2,"12,797"
韓國,30.0,6.3,17.7,22.3,24.3,1.4,0.1,101.9,"1,917"
台灣,21.9,12.8,31.7,12.3,23.8,0.6,0.2,103.3,"1,819"
中國,23.1,10.1,24.4,21.1,21.7,1.0,0.2,101.5,"2,561"
香港,22.8,18.4,30.8,5.0,23.2,0.2,0.7,101.3,926
泰國,19.2,13.1,24.3,15.7,31.5,1.2,1.1,106.1,742
新加坡,21.1,10.1,45.2,6.8,17.7,0.0,0.5,101.6,330
馬來西亞,16.2,7.5,37.1,17.4,21.9,2.5,0.6,103.2,278
美國,32.1,20.4,21.0,8.3,19.0,1.2,0.7,102.7,"1,211"
加拿大,23.3,24.5,25.7,7.3,22.2,0.3,0.0,103.3,272
英國,39.8,25.9,10.9,10.4,14.0,0.0,0.3,101.3,300
德國,43.6,17.2,11.8,12.9,13.5,1.0,0.4,100.4,196
法國,31.1,23.9,15.3,5.9,23.0,1.1,1.5,101.8,264
意大利,31.1,34.1,9.5,12.8,14.8,0.0,0.0,102.3,196
西班牙,27.8,30.6,17.5,4.5,18.9,1.2,1.6,102.2,208
澳大利亞,21.2,30.3,18.7,4.7,26.4,1.0,0.9,103.2,424
印度,39.6,7.0,11.2,28.9,12.2,0.5,1.2,100.6,173
印尼,14.1,12.9,33.1,20.1,22.2,0.8,1.2,104.4,323
菲律賓,23.4,9.1,39.2,12.4,17.0,1.0,0.0,102.1,293
越南,30.0,6.8,21.8,27.5,14.7,0.6,1.0,102.4,190
俄羅斯,37.2,16.4,20.7,9.6,15.4,0.6,1.2,101.1,164
其他,13.9,6.9,36.1,19.5,23.6,0.0,0.0,100.0,10
