,住宿費,飲食費,都內交通費,娛樂入場費,土產購物費,其他,都內支出總額,標本數
全體,"34,556","26,312","9,338","3,191","64,847","2,199","140,443","12,893"
韓國,"31,922","24,723","8,205","3,669","22,915","1,907","93,341","1,871"
台灣,"28,824","21,353","7,669","3,167","46,742","1,306","109,061","1,951"
中國,"35,825","31,132","9,790","2,066","134,987","4,117","217,918","2,571"
香港,"36,885","29,566","10,837","4,095","67,522",497,"149,403",953
泰國,"22,091","19,169","7,768","3,928","43,804",782,"97,542",692
新加坡,"48,599","30,527","10,933","3,115","52,981",399,"146,555",360
馬來西亞,"35,402","15,059","9,983","4,590","43,743","2,736","111,513",234
美國,"50,762","29,895","10,460","4,286","23,225","1,443","120,070","1,275"
加拿大,"46,962","29,728","10,062","4,469","24,297",694,"116,212",256
英國,"59,761","35,114","12,212","5,569","21,574","1,021","135,250",286
德國,"57,173","37,972","13,204","4,975","20,159","1,066","134,548",190
法國,"51,921","29,323","15,301","6,017","27,888","2,010","132,459",263
義大利,"46,067","30,477","13,831","5,282","22,865",625,"119,147",220
西班牙,"58,867","34,727","11,885","5,361","23,829","1,454","136,122",222
澳洲,"54,817","42,980","15,333","6,497","35,105",451,"155,182",400
印度,"41,269","22,679","10,330","2,319","18,112","2,298","97,007",168
印尼,"37,144","21,567","8,559","3,115","35,182","1,171","106,739",305
菲律賓,"28,893","20,311","8,413","2,744","27,634",250,"88,246",293
越南,"19,849","12,921","16,541",838,"71,314",8,"121,471",200
俄羅斯,"35,818","19,590","10,236","6,792","33,911","40,656","147,003",172
其他,"19,495","10,752","8,760",0,"32,762",0,"71,769",11
