,1次,2次,3次,4～9次,10次以上,無回答,合計,標本數
全體,32.8,16.5,10.1,22.2,18.3,0.1,100,"12,797"
韓國,14.5,16.7,12.8,28.7,27.1,0.1,100,"1,917"
台灣,12.6,13.9,12.6,33.9,26.8,0.2,100,"1,819"
中國,45.1,16.6,8.7,17.6,11.9,0.0,100,"2,561"
香港,10.6,9.6,12.1,31.2,36.3,0.2,100,926
泰國,32.6,19.4,13.5,24.2,10.2,0.0,100,742
新加坡,22.8,18.7,14.7,26.7,17.0,0.0,100,330
馬來西亞,42.3,21.6,10.9,15.2,10.1,0.0,100,278
美國,57.5,15.2,7.3,9.8,10.2,0.0,100,"1,211"
加拿大,65.0,15.6,2.8,7.5,9.0,0.0,100,272
英國,57.8,13.1,7.7,10.1,11.2,0.0,100,300
德國,52.9,16.1,5.1,16.8,9.1,0.0,100,196
法國,56.1,20.0,4.3,11.8,7.8,0.0,100,264
意大利,60.6,15.1,8.5,10.3,5.5,0.0,100,196
西班牙,77.4,10.9,3.8,5.6,2.2,0.0,100,208
澳大利亞,54.6,22.1,7.8,9.9,5.6,0.0,100,424
印度,57.4,13.9,6.9,13.8,8.0,0.0,100,173
印尼,49.3,18.9,12.2,13.1,6.5,0.0,100,323
菲律賓,51.8,17.4,10.1,15.3,5.4,0.0,100,293
越南,56.0,17.7,4.3,11.6,10.5,0.0,100,190
俄羅斯,49.5,19.2,7.7,13.2,10.4,0.0,100,164
其他,40.3,36.1,0.0,6.9,16.7,0.0,100,10
,,,,,,,,
